i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
5,272,6,273,1,1,0.9306315596622445,53.32126065032388,29.119988894288607,28.080469337243606,0.1483264652092273,0.029967655568462093,4.949551855011501
13,377,14,378,0,0,0.794036178156998,45.494921789093915,10.522722012357997,10.248454701364851,0.14677679651368486,0.0008420184149346518,174.3154234044585
21,349,22,350,0,0,0.9224713506704352,52.853715115148496,34.79089391814231,33.57038937258472,0.1349146592862563,0.07966413194421938,1.6935433298981175
77,200,78,201,0,0,0.9651204268817433,55.297327182188255,32.326003506268655,31.085934624708113,0.13353355377505488,0.10564150569379842,1.2640254689487433
85,333,86,334,0,1,0.9997460299325481,57.28122810009468,21.338122779028666,20.46052237311983,0.1320543306911584,0.06470711909790004,2.0408006496373905
73,168,74,169,1,1,1.0201944778004903,58.45283786052105,25.159298591935993,24.082334233495953,0.12995347095561258,0.1122981664535262,1.1572181012358105
216,418,217,419,0,0,1.020009828217621,58.44225821873379,21.003198170582962,20.104460275939783,0.12511341634063375,0.10743405313006944,1.164560143599535
89,398,90,399,1,0,1.0079666683373674,57.75223598559398,18.58992510762267,17.812888357114222,0.1212471574576536,0.019345681409474246,6.267401746742024
346,359,347,360,1,1,0.9998736834814927,57.28854210968907,17.240076012554088,16.530842424141813,0.11773177517200392,0.1097164620495903,1.073054790253725
211,382,212,383,1,1,1.001743334325711,57.39566521222584,17.201299620125116,16.491045603975927,0.11689228524126655,0.1066008724810396,1.0965415434292756
317,430,318,431,1,1,1.0676686613455675,61.172908213483396,32.23543263945844,30.72603062988581,0.11378179593692052,0.025860976021186564,4.399748711870154
147,236,148,237,1,1,1.0275940856181862,58.87680415852704,18.173727358708746,17.384609714077076,0.1130951034388338,0.03146183750572894,3.594675721602088
259,504,260,505,0,0,1.097180869544566,62.86383318739739,28.14101907722485,26.750593882945545,0.11134950857542404,0.09417907949090593,1.1823168072711532
96,132,97,133,0,1,1.0835282680883267,62.08159674458072,20.365419741601052,19.38370129795569,0.1047869169621917,0.07616417532835466,1.3758032107672709
486,524,487,525,0,0,1.1403253481611006,65.33582972141726,29.811220453122733,28.222072921687964,0.10198504642054292,0.0797426751580969,1.278926825797461
66,428,67,429,0,1,1.1815906976436896,67.70016008690196,28.565598323120092,26.932607303821417,0.09399532104056328,0.06926692939505304,1.3570014126723555
262,458,263,459,1,1,1.1023228299585486,63.15844581754194,18.73553875543985,17.801265957794957,0.0934035200016671,0.042405358875097464,2.2026348197354437
113,246,114,247,1,1,1.178138501527795,67.50236381940974,24.710169846669487,23.30567861286139,0.09138285935053281,0.06390841276039597,1.429903441556958
8,266,9,267,1,0,1.1801681669766917,67.61865508345505,24.500974354631012,23.103654769288937,0.09060881417315575,0.014870958845171837,6.093004164460704
240,359,241,360,1,0,0.8510299674239499,48.76042537254826,8.826514387613498,8.56255621017701,0.09031841057031233,0.0010108168952751848,89.35190042082156
176,202,177,203,0,1,1.1108278292879283,63.64574638387699,18.414551960254894,17.4822806563662,0.08965341122213796,0.0,inf
73,152,74,153,0,1,1.023405094135244,58.636792626138195,13.979449156712537,13.377324472440623,0.08784252633618894,0.003934195615872349,22.327950847637545
328,386,329,387,1,0,1.2164003907657206,69.6946085889399,32.56344235354034,30.592671083832506,0.08729194630187702,0.043453337939642,2.008866302126851
74,519,75,520,1,0,1.122002458177291,64.28600545686243,18.42024206448374,17.469122629530577,0.08669337785156195,0.030084268722385094,2.8816847320292402
170,250,171,251,0,1,1.1279902163933075,64.62907873138496,18.463283990502546,17.499901986027172,0.0853189596974447,0.041720796320595034,2.044998351465499
99,188,100,189,0,1,1.2326531572698498,70.6258235150381,31.4060579478665,29.455172581792606,0.08494517238928699,0.0463463563880088,1.832833884030307
471,473,472,474,0,0,1.234470090591533,70.72992612602722,33.23347482568711,31.163099520483865,0.08410320990429389,0.061396247970194384,1.3698428272868222
259,364,260,365,1,1,1.1472399858770668,65.7320092794041,18.88667336641358,17.867835705715034,0.08227835552827882,0.004775615752790412,17.228847501016645
